nh	female	married	sepdiv	single	ownhh	white	black	hispan	mobility	age	yrsnh	ses	violence	control
4	0	0	0	1	0	0	1	0	2	22	0.6667	0.5535	140.79	299.93
4	0	1	0	0	1	0	1	0	0	45	7	3.1054	241.03	399.93
5	1	0	1	0	0	1	0	0	3	34	0.5	0.1925	340.79	319.93
5	1	0	1	0	0	1	0	0	0	78	9.5833	-1.1416	120.79	419.93
5	1	0	0	1	0	0	1	0	2	22	1.25	0.7679	240.79	279.93
5	0	1	0	0	1	0	0	1	0	37	11	1.4956	280.19	219.93
5	1	0	1	0	0	0	1	0	1	44	3.5833	0.7691	220.79	239.93
5	1	1	0	0	1	1	0	0	1	47	2.25	3.1584	120.79	419.93
5	1	0	0	1	0	0	1	0	1	37	0.25	-0.4037	120.79	459.93
5	0	1	0	0	1	1	0	0	0	41	8.25	1.8243	280.79	359.93
5	0	0	0	1	0	1	0	0	6	28	0.9167	1.7597	277.8	319.93
5	0	0	0	0	1	1	0	0	0	42	9.8333	3.0215	200.79	379.93
5	1	0	0	1	0	0	0	1	1	31	0.3333	-0.361	185.99	359.93
5	0	1	0	0	0	0	1	0	0	44	5.5	0.8095	112.22	299.93
5	1	0	0	0	0	0	0	1	0	49	20.4167	-0.0831	316.03	419.93
5	1	0	0	1	1	1	0	0	0	40	6	3.3821	320.79	419.93
5	1	0	0	1	0	1	0	0	6	25	1	1.0228	339.83	299.93
6	1	1	0	0	1	0	0	0	0	40	5.8333	1.2053	180.79	359.93
6	1	0	1	0	0	0	1	0	1	56	4	-2.1738	112.22	359.93
6	0	1	0	0	1	0	1	0	0	38	8	4.0117	220.79	399.93
6	1	0	1	0	0	0	1	0	0	36	5.25	0.5119	280.79	279.93
6	1	1	0	0	0	0	1	0	1	38	3	0.1095	180.79	459.93
6	0	0	0	1	0	1	0	0	1	49	2.1667	-1.1186	160.79	419.93
6	1	0	0	0	0	0	1	0	1	20	0.25	-0.2549	100.79	399.93
6	0	1	0	0	0	0	0	1	3	21	0.25	0.1187	191.03	419.93
6	1	0	0	1	0	1	0	0	6	55	0.5833	2.9244	100.79	359.93
6	0	1	0	0	0	0	0	1	1	34	0.25	-2.0816	248.16	259.93
6	1	1	0	0	0	0	0	1	1	26	0.0833	-3.3903	100.79	259.93
6	1	0	0	1	0	0	0	1	3	23	1.5	0.919	300.79	99.93
6	0	1	0	0	0	0	0	1	0	44	8.4167	-0.8583	304.83	99.93
7	1	0	0	1	0	0	1	0	5	40	0.75	-0.7035	240.79	339.92
7	1	0	0	0	0	1	0	0	0	56	20.5	0.6838	160.79	319.92
7	0	0	0	1	0	0	0	1	1	21	2.75	-0.5305	220.79	399.92
7	1	0	0	1	0	0	0	1	2	44	2.25	-1.212	200.79	499.92
7	0	0	0	0	0	0	1	0	1	30	0.0833	-0.7031	120.79	399.92
7	1	0	0	0	0	0	1	0	1	87	2.25	0.3424	NA	359.92
7	1	0	1	0	0	0	1	0	1	36	3	-1.4985	160.79	299.92
7	1	0	0	1	0	1	0	0	1	24	1.3333	0.1591	277.8	219.92
7	1	1	0	0	1	1	0	0	0	52	30	0.9513	180.79	379.92
7	0	1	0	0	1	1	0	0	0	51	11	2.7641	280.79	439.92
7	1	0	0	1	0	0	1	0	3	54	0.5833	-3.0663	100.79	319.92
7	0	0	0	0	0	0	0	0	1	46	2.5833	1.6963	NA	339.92
7	1	0	1	0	0	0	0	1	0	66	9.5833	0.4081	260.79	419.92
7	0	0	1	0	1	1	0	0	2	47	21.8333	0.8556	300.79	359.92
7	1	0	0	1	0	0	0	1	3	39	1.5	-0.4266	160.79	199.92
7	0	0	0	1	0	0	0	1	3	48	1.25	-0.6816	280.79	239.92
7	0	0	0	1	0	0	0	1	1	22	1.1667	-2.2476	180.79	479.92
7	1	0	0	1	0	0	1	0	1	38	0.3333	1.3756	100.79	419.92
7	1	1	0	0	0	0	0	1	0	34	5.9167	-2.2038	180.79	199.92
7	1	1	0	0	0	0	0	1	1	23	2.5	-2.0459	120.79	459.92
7	0	0	0	1	0	0	0	1	1	23	2.0833	-1.513	240.79	359.92
7	0	1	0	0	0	0	0	0	2	44	2	-2.3629	93.17	339.92
7	0	0	0	1	0	0	0	0	2	31	0.6667	-0.0658	210.66	319.92
7	1	1	0	0	0	0	0	1	0	55	8.5	-2.9141	220.79	239.92
7	0	0	0	0	0	0	0	1	0	40	4	-2.0215	100.79	299.92
7	1	1	0	0	0	0	1	0	3	25	0.4167	0.2178	160.79	319.92
7	0	1	0	0	0	0	0	0	2	36	2.6667	0.1372	200.79	259.92
7	1	0	1	0	0	0	1	0	2	38	1.5	0.0035	240.79	239.92
7	0	1	0	0	0	1	0	0	0	89	15	0.2219	120.79	359.92
7	1	1	0	0	1	0	0	0	1	31	0.5	1.9431	105.19	399.92
7	0	0	0	1	1	0	0	0	0	28	18	-0.519	400.79	419.92
7	0	1	0	0	0	0	0	0	0	37	10.5	-0.0969	177.8	139.92
7	1	1	0	0	0	0	1	0	6	28	1	-0.4255	160.79	139.92
7	1	0	1	0	0	1	0	0	1	50	3	2.1217	NA	299.92
7	1	1	0	0	0	0	0	0	3	25	1.9167	1.0551	230.19	179.92
7	1	0	0	0	0	0	0	1	1	24	3	-0.7773	140.79	279.92
7	1	0	0	1	0	1	0	0	3	28	1	2.741	240.79	319.92
7	1	0	0	0	0	1	0	0	3	33	1.0833	2.2174	240.79	259.92
7	0	1	0	0	1	1	0	0	0	56	50	2.1887	260.79	319.92
8	1	0	0	0	1	1	0	0	5	28	1.0833	1.8877	180.19	379.92
8	1	1	0	0	1	1	0	0	0	43	6.5	3.8514	302.54	359.92
8	0	1	0	0	1	1	0	0	0	56	23.0833	2.0089	100.79	339.92
8	1	1	0	0	1	1	0	0	0	71	24.0833	0.4681	140.79	459.92
8	1	1	0	0	1	1	0	0	0	61	37.0833	2.3258	140.79	379.92
8	1	0	0	0	1	1	0	0	0	74	41.5	1.6847	100.79	459.92
8	0	0	0	1	1	0	0	1	0	36	20.5	-0.9376	220.79	319.92
8	1	0	0	1	0	1	0	0	0	40	6.8333	0.9813	120.79	419.92
8	1	0	1	0	0	0	0	1	1	38	0.25	-0.6723	120.79	339.92
8	1	1	0	0	1	1	0	0	0	43	14.9167	4.3323	260.79	419.92
8	0	0	1	0	0	0	0	0	1	31	0.75	2.6153	120.79	239.92
8	1	1	0	0	0	1	0	0	0	63	13	1.0804	140.79	419.92
8	0	0	0	1	0	0	0	0	0	32	8	0.3733	100.79	399.92
8	0	0	0	0	0	1	0	0	0	75	12	-0.0312	100.79	339.92
9	0	1	0	0	0	0	1	0	3	26	0.4167	-0.4371	140.79	439.92
9	1	0	0	1	1	0	1	0	0	20	14	0.384	120.79	419.92
9	1	0	1	0	1	0	1	0	1	41	3	0.3332	100.79	499.92
9	1	0	0	1	1	0	1	0	0	32	30.4167	1.0758	140.79	499.92
9	0	1	0	0	1	0	0	0	0	70	25	-0.1835	140.79	439.92
9	1	0	1	0	0	0	1	0	1	61	3.3333	0.3528	200.79	299.92
9	0	0	0	1	1	0	1	0	0	25	24	1.0455	140.79	419.92
9	0	1	0	0	1	0	1	0	0	50	18.1667	0.8983	100.79	499.92
9	1	0	0	0	1	0	1	0	0	48	10.9167	2.6026	154.14	419.92
9	1	0	0	1	1	0	1	0	0	18	16	0.5425	140.79	299.92
9	0	0	1	0	1	0	1	0	0	60	23.9167	0.4346	260.79	119.92
9	0	1	0	0	1	0	1	0	0	74	17	2.4343	160.79	399.92
9	1	1	0	0	0	0	1	0	2	41	0.5	0.9202	408.95	259.92
9	0	0	0	1	0	0	1	0	0	21	6	-0.4438	140.79	439.92
9	0	1	0	0	1	0	1	0	0	40	8	2.8391	298.74	339.92
9	0	0	1	0	0	0	1	0	3	38	2.6667	0.0338	100.79	279.92
9	0	0	1	0	0	0	1	0	1	33	3	-1.0477	240.79	419.92
9	1	1	0	0	1	0	1	0	0	77	23.8333	-1.0292	183.19	299.92
9	0	1	0	0	1	0	1	0	0	50	14	0.2375	93.17	459.92
9	1	1	0	0	1	0	1	0	0	62	27	-1.3596	180.79	419.92
9	0	1	0	0	1	0	1	0	1	67	3	-0.0358	100.79	419.92
9	0	1	0	0	1	0	1	0	0	41	7.75	1.4183	141.03	219.92
9	0	0	0	0	1	0	1	0	0	65	40	1.4748	160.79	379.92
9	0	1	0	0	1	0	1	0	0	60	30	-0.0739	100.79	419.92
9	0	1	0	0	1	0	1	0	1	32	1.25	1.7931	193.17	419.92
9	0	1	0	0	1	0	1	0	0	41	25	2.7329	112.04	459.92
9	0	1	0	0	1	0	1	0	2	53	0.75	0.1291	120.79	439.92
9	1	1	0	0	1	0	1	0	0	67	29	-1.3598	100.79	399.92
9	0	1	0	0	1	0	1	0	0	43	10.5	0.8129	120.79	419.92
